2026-09-25 04:54:49 - Step 1 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.154 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:22 - Step 387 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.471 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:22 - Step 388 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.253 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:22 - Step 388 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.398 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 389 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.428 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 389 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.471 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 389 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.439 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 390 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.477 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 390 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.487 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 391 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.479 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 391 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.335 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 391 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.493 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 392 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.410 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:23 - Step 392 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.343 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 393 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.488 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 393 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.480 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 393 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.475 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 394 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.022 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 394 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.402 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 395 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.399 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 395 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.294 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 396 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.465 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:24 - Step 396 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.440 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 397 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.496 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 397 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.439 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 398 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.367 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 398 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.111 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 399 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.287 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 399 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.379 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 399 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.437 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 400 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.471 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:25 - Step 400 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.432 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 401 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.232 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 401 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.139 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 401 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.333 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 401 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.146 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 403 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.466 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 403 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.486 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 403 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.495 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 403 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.490 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:26 - Step 403 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.466 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 405 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.455 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 405 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.271 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 405 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.485 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 405 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.490 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 405 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.460 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 407 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.468 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 407 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.287 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 407 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.463 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 407 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.496 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 407 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.284 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 409 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.320 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 409 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.478 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 409 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.362 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 409 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.488 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:27 - Step 409 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.235 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 411 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.471 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 411 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.473 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 411 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.488 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 411 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.493 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 412 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.459 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 413 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.489 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 413 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.469 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 413 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.470 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:28 - Step 413 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.025 | Proposed -0.426 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 414 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.018 | Proposed -0.402 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 415 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.381 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 415 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.353 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 416 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.440 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 416 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.434 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 416 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.483 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 417 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.406 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:29 - Step 417 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.432 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 418 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.476 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 418 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.100 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 418 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.412 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 419 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.471 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 419 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.489 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 420 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.393 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 420 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.477 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 420 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.496 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 421 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.492 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:30 - Step 421 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.493 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 422 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.468 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 422 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.430 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 423 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.492 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 423 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.472 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 424 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.393 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 424 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.302 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 424 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.481 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 425 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.425 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:31 - Step 425 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.481 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 426 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.464 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 426 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.484 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 426 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.473 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 427 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.485 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 427 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.483 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 428 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.416 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 428 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.470 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 428 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.493 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 429 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.475 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:32 - Step 429 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.474 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 430 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.449 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 430 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.457 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 430 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.475 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 431 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.484 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 431 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.495 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 432 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.259 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 432 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.124 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 432 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.494 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 433 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.489 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 433 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.491 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 434 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.352 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 434 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.374 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:33 - Step 434 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.379 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 435 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.479 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 435 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.455 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 436 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.420 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 436 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.088 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 437 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.418 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 437 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.492 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 438 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.152 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 438 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.478 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:34 - Step 438 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.339 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:35 - Step 439 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.480 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:35 - Step 439 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.459 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:35 - Step 440 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.443 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:55:35 - Step 440 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.462 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
